朝向,单位面积租金（元/月/㎡）
南,50.27032154035853
南北,73.6842105263158
南,58.108108108108105
南,89.56612771897174
南北,96.248766041461
南,143.26647564469914
南,118.26086956521739
南北,82.76899924755456
南,50.27032154035853
南北,73.6842105263158
南,58.108108108108105
南,89.56612771897174
南北,96.248766041461
南,143.26647564469914
南,118.26086956521739
南北,82.76899924755456
南北,94.74590869939708
南,48.333333333333336
南,46.298552561040985
南,75.9589821496392
南,70.64211244275553
南,48.47831941826016
南北,60.68779501011463
南,67.43806346276709
南北,61.74957118353345
南,69.50612040004633
南,72.26825978030449
南,89.6057347670251
南,45.41426672574214
南,72.98601398601399
南,68.00333435703944
南,52.047189451769604
南,47.23169771713461
南,40.16064257028113
南,51.47475163432336
南,58.16320595591229
南,57.63135145519163
南,79.24413288631514
南北,44.74511266180153
南北,73.6842105263158
南,49.079754601226995
南北,45.76203740549145
南,55.12454062882809
南,55.55246930726071
南,74.24820112949001
南,84.07269605037207
南,64.37215689640374
南北,83.36112037345782
南,44.1257584114727
南,63.225113014889516
南北,156.3553039493193
南,108.01323162087355
南,107.02054794520548
南,79.19936640506877
南,128.50324317708973
南,52.38564214320139
南北,61.71315724512466
南,58.7924745632559
南,98.19324430479183
南,19.455252918287936
南北,102.9792976101701
南北,77.92106596018233
南,96.88044952528578
南,74.22251911229867
南,101.16097494738273
南,59.43914917103615
南,66.21013204192047
南北,48.4526220322769
南,66.10341052283667
南,50.83393390301658
南,52.45257712205404
南,74.53487372072357
南北,83.36112037345782
南,44.1257584114727
南,63.225113014889516
南北,156.3553039493193
南,86.47258375645772
南北,98.4214530239635
南,75.07903055848261
南,82.49690636601127
南,96.4212492134056
南,55.729854689564064
南,76.70123335583236
南,67.5833744898755
南,40.077865567388066
南北,147.85608674223755
南,52.38564214320139
南北,61.71315724512466
南,79.19936640506877
南,96.77690818816797
南,109.48105977665864
南,81.68721223822962
南北,65.65988181221275
南,128.50324317708973
南,67.3076923076923
南,55.55246930726071
南北,120.93227792436237
南,50.27032154035853
南北,73.6842105263158
南,58.108108108108105
南,89.56612771897174
南北,96.248766041461
南,143.26647564469914
南,118.26086956521739
南北,82.76899924755456
南北,24.82073910645339
南,37.5
南,28.758587633807316
南北,29.17859502312266
南,29.464285714285715
南北,24.549044721955386
南,218.41259375257562
南,125.0
南北,130.58239749281796
南,78.35455435847209
南,135.5421686746988
南,143.01889041177523
南,168.36158192090394
南北,133.20604755455898
南,140.54054054054055
南北,140.18134096874255
南北,142.62599628453287
南,194.8627103631532
南,154.79245590451748
南北,99.7127323662781
南,125.66415420733966
南北,127.77777777777777
南北,149.43215780035865
南,112.62200717443898
南,147.41209871150906
南北,168.11927620227402
南,116.89640056499927
南,157.2868026542148
南北,176.1238548398551
南,70.0
南北,81.4000814000814
南,159.2920353982301
南北,151.87310158623018
南,195.04583577140627
南,146.4686410639482
南,50.27032154035853
南北,73.6842105263158
南,58.108108108108105
南,89.56612771897174
南北,96.248766041461
南,143.26647564469914
南,118.26086956521739
南北,82.76899924755456
南,150.7775815275923
南,178.89908256880733
南北,99.24487594390507
南,124.2723526718556
南,58.082741505399056
南北,107.46332813927246
南北,165.3605579121432
南,177.51660392372906
南,70.11210995800215
南,152.31043209297965
南,103.9136690647482
南北,95.41284403669725
南,131.92154139906265
南,44.562163323013046
南,198.1392143349414
南北,162.10082671421625
南,146.9387755102041
南,225.02466635509165
南,136.04651162790697
南,118.70172206080362
南,94.08976860886536
南,146.23601220752798
南,149.35776162501244
南,134.92848790141227
南,101.25849848112253
北,141.04372355430183
南,45.851127937747265
南,66.45401382243487
南,95.39228985253577
南,148.38796708485094
南北,202.12765957446808
南,172.07665232694563
南,142.41325737959608
南,61.236987140232706
南,80.80417552677363
南北,65.66347469220246
西,121.21212121212122
南,115.70160608622147
南,139.67784608201697
西,91.06085900743663
南北,97.32360097323601
南,129.45382813463198
南,41.67061274741926
南,50.27032154035853
南北,73.6842105263158
南,58.108108108108105
南,89.56612771897174
南北,96.248766041461
南,143.26647564469914
南,118.26086956521739
南北,82.76899924755456
南,179.53321364452424
南,232.6934264107039
南,231.53252480705623
南,138.40032293408686
南北,206.8191219050996
南,161.1005983736511
南,201.83897734918142
南,304.6716316858497
南,107.08357873320126
南,268.00670016750416
南北,180.70112034694617
南,166.8230632884996
南北,139.9510171439996
南,172.4344389893426
南,136.8421052631579
南,211.15270179479796
南,193.5064935064935
南,180.3475789703793
南,157.34026542618687
南,204.05078597339784
南,116.66666666666667
南,267.3267326732673
南,185.901249256395
南,121.95121951219512
南,151.6136019059996
南,155.47525002101017
南,197.39439399921042
南,266.4298401420959
南北,149.33478142818356
南,144.05447878470403
南,318.20110309715744
南,151.67109040680353
南,184.8770567572564
南,122.9754049190162
南,131.36620856911884
南,236.11423431526873
南北,102.98961764583245
南,227.77777777777777
南,196.42857142857142
南,237.81212841854935
南北,212.60574921380166
南,200.05927682276229
南,221.85246810870768
南北,128.07824416370727
南,186.69985775248932
南,158.1325301204819
南,169.08383445348426
南北,272.36538864445845
南,193.67209971236818
南,110.93238671030008
南,288.77337953707405
南,166.7667267026883
南,197.9675333245348
南,158.1325301204819
南,202.99109393379265
南,169.08383445348426
南北,272.36538864445845
南,193.67209971236818
南,110.93238671030008
南,223.081499107674
南北,226.72064777327935
南,436.56207366984995
南北,179.88053217485745
南北,233.7873551534865
南北,115.4370867877007
南北,148.14814814814815
南,122.26397089521085
南,265.6072644721907
南,222.49190938511327
南北,212.2905027932961
南北,174.5598057073467
南,142.10197237537656
南,150.7537688442211
南,201.40105078809106
南,192.76232042189488
南,245.1982018798529
南,188.03418803418805
南,221.74178169521593
南,233.97617697107205
南,139.04672772244135
南,152.47222827270747
南北,143.93939393939394
南北,149.33478142818356
南,144.05447878470403
南,158.1325301204819
南北,174.5598057073467
南北,126.58227848101266
南,239.69866453601188
南北,226.72064777327935
南,436.56207366984995
南北,272.36538864445845
南,223.081499107674
西,188.67924528301887
南,171.50078228427006
南,151.67109040680353
南,413.9970428782651
南,167.08821951406455
南,147.60621229623925
南,161.76470588235293
南,134.27906221235585
南,187.15105763938035
南,194.02153731897513
南,172.89307749677943
南北,278.45457709711104
南,119.23076923076923
南,221.85246810870768
南北,128.07824416370727
南,186.69985775248932
南,188.52459016393442
南,151.8987341772152
南,158.473866762349
南,159.36617794372097
南,144.9191351226016
南,194.52642876308022
南北,179.32716447887526
南,129.80434369657442
南,140.52344985069385
南,197.98657718120805
南,192.34291994870856
南,285.7623129937805
南,124.42031444406742
南,188.06633612583346
南,225.03396739130434
南,121.89918937039069
南,173.11520817103784
南,128.87428313680005
南,149.19806042521446
南,199.50522703694836
南,370.3703703703704
南,170.37302725968436
南,148.06753726421317
南,175.82417582417582
南,147.96266788071932
南,50.27032154035853
南北,73.6842105263158
南,58.108108108108105
南,89.56612771897174
南北,96.248766041461
南,143.26647564469914
南,118.26086956521739
南北,82.76899924755456
南,153.46389944460682
南北,179.32716447887526
南,159.6012768102145
南,180.55555555555554
南,240.82458337347074
南,213.00448430493273
南北,204.00156924284033
南,222.22222222222223
南,201.6942315449778
南北,147.16232644443022
南,174.41860465116278
南,198.96538002387587
南,194.52642876308022
南,287.4
南,144.9191351226016
南,228.29561020155242
南,182.16729850819752
南北,272.9372244383792
南北,168.83441720860432
南,161.0392398947877
南北,167.57536882617063
南,181.8586698337292
南,215.0
南,149.19806042521446
南,199.50522703694836
南,370.3703703703704
南,170.37302725968436
南,148.06753726421317
南,175.82417582417582
南,147.96266788071932
南,87.22620662919171
南,219.85753231905727
南,198.70704321197687
南北,210.75581395348837
南北,194.44444444444446
南北,196.6865874877071
南,146.2571466560298
南,208.00832033281333
南,30.0
南,17.88617886178862
南北,37.5
南,25.0
南,18.333333333333332
南,30.0
南,21.829294913774284
南,6.470588235294118
南北,12.941176470588236
南,22.150029533372713
东,21.145374449339208
南,25.85251754277976
南,43.131616782119984
南,29.7644357513394
南北,10.067451927917045
南,18.69158878504673
南,19.137678712146798
南北,182.27706113292206
南,161.76470588235293
南,239.69866453601188
西,188.67924528301887
南,171.50078228427006
南,151.67109040680353
南,126.58927584300719
南北,149.33478142818356
南北,115.4370867877007
南北,148.14814814814815
南,122.26397089521085
南,265.6072644721907
南,222.49190938511327
南北,212.2905027932961
南北,102.98961764583245
南,227.77777777777777
南,196.42857142857142
南,436.56207366984995
南北,179.88053217485745
南北,233.7873551534865
南,197.93357349273583
南,215.24663677130044
南,145.6370847793753
南北,174.5598057073467
南北,226.72064777327935
南,413.9970428782651
南,167.08821951406455
南,223.23421734083402
南,152.47222827270747
南北,143.93939393939394
南,142.10197237537656
南,181.8181818181818
南,138.13622356816492
南,204.96148844653396
南,171.34831460674158
西,152.97718825158515
南,199.35920256318977
南,194.95864513588026
南,228.35277417762143
南,174.84727196123868
西,234.9348055914484
南,151.83103698332127
东,161.76470588235293
南,139.04672772244135
南,246.51251672081025
南,127.86088735455824
北,228.05928455032202
南,156.4828614008942
南,161.0392398947877
南北,167.57536882617063
南,181.8586698337292
南,192.62295081967213
南北,170.90365306558428
南,161.1686441259173
南,142.57376642697744
南,157.0617373444485
南,121.98097096852891
南,82.36855351667963
南北,182.83582089552237
南,189.05253901956476
南,153.15001740341106
南,102.5052277666161
南,52.06625913570009
南北,162.87878787878788
南,226.5176683781335
南北,155.35669898086007
南,136.52222278404207
南,120.49644535486203
南,90.96213915491025
南,131.38573305510474
南,180.18018018018017
南,97.54984454776235
南,178.6018030277258
南北,114.42786069651741
南,155.2312946289972
南,187.99710773680403
南,50.57529396889619
南,184.21052631578948
南北,177.4447949526814
南北,171.49445165009368
南,114.28571428571429
南,122.46261179352061
南北,116.82011682011681
南,108.54896438420465
南,189.3491124260355
南,85.6186596788003
南,147.9338571287682
南,90.15627086950714
南,120.33177188534101
南,251.45845906256287
南北,142.71653543307087
南,135.89743589743588
南,173.37031900138695
南,87.8987406507703
南,127.27272727272727
南,155.87885985748218
南,133.33333333333334
南,139.2016376663255
南北,106.56990068754774
南,106.87022900763358
南,73.1018441601595
南,151.09705209314845
南,46.05668515095502
南,127.90697674418605
南,135.61320754716982
南,168.5097419694576
南,127.62336925694838
南,104.94831295586924
南,170.3056768558952
南,85.83690987124463
南,157.55971513203505
南,144.59573442583445
